"month","day","year","36015020","36025010","37050010","37055010"
"06","16","2006",NA,NA,0,0
"06","17","2006",NA,NA,13,30
"06","18","2006",NA,NA,3,0.4
"06","19","2006",1.2,NA,0,0.2
"06","20","2006",0.1,NA,22,9.4
"06","21","2006",24,NA,19,25.9
"06","22","2006",0.4,NA,7,18.7
"06","23","2006",0.1,NA,80,2.4
"06","24","2006",0,NA,7,15.1
"06","25","2006",6,NA,27,0
"06","26","2006",0.3,NA,0,15.7
"06","27","2006",12,NA,5,2.4
"06","28","2006",32.5,NA,3,4.8
"06","29","2006",15.1,NA,38,5.7
"06","30","2006",0.1,NA,0,0
"07","01","2006",0,NA,0,0
"07","02","2006",0,NA,90,0
"07","03","2006",18.4,NA,1,20.8
"07","04","2006",1.9,NA,0,0
"07","05","2006",NA,NA,0,0
"07","06","2006",17.5,NA,60,19.4
"07","07","2006",29.4,NA,8,4.8
"07","08","2006",NA,NA,0,0
"07","09","2006",22.1,NA,0,3.1
"07","10","2006",28.1,NA,18,22.4
"07","11","2006",0.1,NA,0,0
"07","12","2006",NA,NA,0,3.8
"07","13","2006",NA,NA,2,10.4
"07","14","2006",NA,NA,51,11.1
"07","15","2006",NA,NA,8,12.9
"07","16","2006",NA,NA,10,1.8
"07","17","2006",NA,NA,0,0
"07","18","2006",0.4,NA,0,2.3
"07","19","2006",NA,NA,3,5.1
"07","20","2006",NA,NA,0,1.9
"07","21","2006",NA,NA,0,0
"07","22","2006",38,NA,0,0.7
"07","23","2006",0.1,NA,1,3.2
"07","24","2006",34.7,NA,2,21.8
"07","25","2006",12.8,NA,4,1.6
"07","26","2006",0.2,NA,1,1.5
"07","27","2006",NA,NA,91,0
"07","28","2006",23.2,NA,31,19.2
"07","29","2006",0.1,NA,0,0
"07","30","2006",NA,NA,0,0
"07","31","2006",0,NA,2,0
"08","01","2006",56.8,NA,0,0
"08","02","2006",0.1,NA,0,0
"08","03","2006",NA,NA,0,0
"08","04","2006",1.5,NA,2,10.8
"08","05","2006",0,NA,0,1.4
"08","06","2006",NA,NA,0,2.5
"08","07","2006",NA,NA,0,0
"08","08","2006",NA,NA,0,0
"08","09","2006",0,NA,0,0
"08","10","2006",0,NA,12,27.3
"08","11","2006",NA,NA,10,4.7
"08","12","2006",0.2,NA,0,0
"08","13","2006",0.1,NA,0,0
"08","14","2006",0,NA,0,0
"08","15","2006",104.5,NA,0,0
"08","16","2006",10.5,NA,0,5.7
"08","17","2006",NA,NA,0,0
"08","18","2006",0.1,NA,11,41.4
"08","19","2006",0.3,NA,1,0.2
"08","20","2006",4.9,NA,9,10.1
"08","21","2006",0.6,NA,0,0.2
"08","22","2006",0.7,NA,0,0.2
"08","23","2006",0.1,NA,40,21
"08","24","2006",19.5,NA,25,79.2
"08","25","2006",0.2,NA,22,28.5
"08","26","2006",0.3,NA,0,0
"08","27","2006",0,NA,0,0
"08","28","2006",1.8,NA,2,0
